Time	Dx	Dy	Dz	Temperature
6.095	38.304	-62.479	-1.390	29.033
6.104	38.304	-62.479	-1.390	29.059
6.115	38.304	-62.479	-1.390	29.051
6.125	38.304	-62.479	-1.390	29.048
6.135	38.304	-62.479	-1.390	29.042
6.145	38.304	-62.479	-1.390	29.033
6.155	38.304	-62.479	-1.390	29.021
6.165	38.298	-62.479	-1.390	29.030
6.176	38.298	-62.479	-1.390	29.048
6.185	38.304	-62.479	-1.390	29.048
6.195	38.298	-62.479	-1.390	29.042
6.206	38.298	-62.479	-1.390	29.045
6.216	38.298	-62.479	-1.390	29.042
6.225	38.304	-62.479	-1.390	29.036
6.235	38.304	-62.479	-1.390	29.030
